customer_id,email
16,SANDRA.MARTIN@sakilacustomer.org
64,JUDITH.COX@sakilacustomer.org
124,SHEILA.WELLS@sakilacustomer.org
169,ERICA.MATTHEWS@sakilacustomer.org
241,HEIDI.LARSON@sakilacustomer.org
271,PENNY.NEAL@sakilacustomer.org
315,KENNETH.GOODEN@sakilacustomer.org
368,HARRY.ARCE@sakilacustomer.org
406,NATHAN.RUNYON@sakilacustomer.org
446,THEODORE.CULP@sakilacustomer.org
482,MAURICE.CRAWLEY@sakilacustomer.org
510,BEN.EASTER@sakilacustomer.org
534,CHRISTIAN.JUNG@sakilacustomer.org
558,JIMMIE.EGGLESTON@sakilacustomer.org
592,TERRANCE.ROUSH@sakilacustomer.org
